Date,EUR_USD,USD_JPY,USD_CHF,GBP_USD,USD_CAD,AUD_USD
1/3/2000,1.0276,101.58,1.5617,1.6393,1.4451,0.6615
1/4/2000,1.0299,103.26,1.558,1.6371,1.4519,0.6553
1/5/2000,1.0317,104.39,1.5551,1.6419,1.4483,0.6578
1/6/2000,1.0299,105.47,1.5476,1.6476,1.4592,0.6551
1/7/2000,1.0283,105.25,1.5646,1.6385,1.4559,0.6556
1/10/2000,1.0256,105.15,1.5688,1.6367,1.4552,0.6565
1/11/2000,1.0326,105.92,1.5594,1.648,1.4559,0.6583
1/12/2000,1.0312,105.93,1.5624,1.648,1.4536,0.6583
1/13/2000,1.0257,106.16,1.5717,1.6463,1.45,0.6684
1/14/2000,1.0142,105.71,1.5922,1.6344,1.4514,0.6668
1/17/2000,1.0118,104.9,1.596,1.6325,1.4491,0.6645
1/18/2000,1.0122,105.66,1.5941,1.6361,1.4505,0.6651
1/19/2000,1.0123,105.33,1.5945,1.6433,1.4522,0.6634
1/20/2000,1.0167,105.27,1.5849,1.6538,1.4466,0.6657
1/21/2000,1.0098,104.79,1.595,1.6494,1.4387,0.6634
1/24/2000,1.0043,105.6,1.6055,1.65,1.4425,0.6538
1/25/2000,1.0017,105.89,1.6096,1.6444,1.4369,0.6549
1/26/2000,1.0013,105.72,1.6103,1.6383,1.438,0.6515
1/27/2000,0.9877,104.96,1.6321,1.6385,1.435,0.6544
1/28/2000,0.9773,107.05,1.648,1.621,1.4442,0.6312
1/31/2000,0.9695,107.47,1.6587,1.6157,1.4476,0.6348
2/1/2000,0.9732,107.83,1.6545,1.615,1.4468,0.6313
2/2/2000,0.9756,108.24,1.6516,1.607,1.4383,0.6378
2/3/2000,0.9901,107.72,1.6246,1.5955,1.4405,0.6386
2/4/2000,0.9825,107.29,1.6347,1.5893,1.4415,0.6367
2/7/2000,0.9802,108.79,1.6387,1.5961,1.4466,0.6341
2/8/2000,0.9857,109.26,1.6304,1.6108,1.4474,0.6331
2/9/2000,0.9922,109.12,1.6218,1.6142,1.4441,0.6348
2/10/2000,0.9862,108.9,1.6291,1.6088,1.448,0.6308
2/11/2000,0.987,108.87,1.6262,1.5941,1.4509,0.6323
2/14/2000,0.9813,108.79,1.6386,1.5881,1.4556,0.6272
2/15/2000,0.9813,109.11,1.6369,1.5954,1.4549,0.629
2/16/2000,0.9865,109.41,1.6255,1.6071,1.4544,0.632
2/17/2000,0.9886,110.56,1.6227,1.6082,1.452,0.6327
2/18/2000,0.9847,110.95,1.6295,1.5989,1.4498,0.6284
2/21/2000,0.987,111.35,1.6235,1.6,1.454,0.627
2/22/2000,1.005,110.71,1.5999,1.6121,1.4635,0.6248
2/23/2000,1.0029,111.32,1.607,1.6029,1.462,0.6208
2/24/2000,0.9943,111.05,1.6182,1.6011,1.4548,0.6158
2/25/2000,0.9742,110.15,1.6507,1.5937,1.4494,0.6156
2/28/2000,0.9728,109.26,1.6533,1.5943,1.4502,0.6135
2/29/2000,0.9664,110.12,1.6614,1.5795,1.4506,0.6188
3/1/2000,0.9743,107.09,1.6493,1.5865,1.4483,0.6043
3/2/2000,0.9662,107.74,1.6627,1.5771,1.4567,0.6074
3/3/2000,0.9617,107.86,1.6715,1.5798,1.4534,0.6089
3/6/2000,0.9591,107.54,1.6774,1.5744,1.4527,0.602
3/7/2000,0.957,106.15,1.6799,1.5776,1.4541,0.6036
3/8/2000,0.9613,107.03,1.6721,1.581,1.457,0.6095
3/9/2000,0.9678,106.54,1.6611,1.5813,1.4582,0.6151
3/10/2000,0.963,106.18,1.6714,1.5767,1.4585,0.6147
3/13/2000,0.9646,105.59,1.6705,1.5783,1.4615,0.6157
3/14/2000,0.9672,105.05,1.6668,1.5768,1.4649,0.6158
3/15/2000,0.968,105.58,1.6655,1.573,1.4679,0.613
3/16/2000,0.9715,105.55,1.659,1.5757,1.4749,0.6116
3/17/2000,0.9726,106.69,1.6565,1.5728,1.4713,0.6061
3/20/2000,0.9733,106.3,1.6563,1.5695,1.4704,0.6077
3/21/2000,0.9644,107.03,1.6716,1.5732,1.4685,0.6101
3/22/2000,0.9602,106.9,1.6761,1.5769,1.4697,0.6046
3/23/2000,0.972,107.37,1.646,1.5866,1.4684,0.6056
3/24/2000,0.9751,107,1.6277,1.5928,1.4636,0.6082
3/27/2000,0.9655,106.74,1.6451,1.587,1.4606,0.6112
3/28/2000,0.9614,105.88,1.6543,1.5889,1.4528,0.6149
3/29/2000,0.9507,105.58,1.6763,1.5956,1.4572,0.6114
3/30/2000,0.9611,105.49,1.658,1.5963,1.4544,0.6127
3/31/2000,0.9557,102.28,1.6637,1.5935,1.4496,0.6077
4/3/2000,0.9581,104.81,1.6505,1.5981,1.4509,0.6071
4/4/2000,0.9637,104.85,1.6349,1.5964,1.4532,0.6055
4/5/2000,0.9628,104.9,1.6359,1.5838,1.45,0.6059
4/6/2000,0.9602,104.77,1.6363,1.581,1.4519,0.6027
4/7/2000,0.9547,105.43,1.6454,1.5805,1.4567,0.599
4/10/2000,0.9615,106.47,1.6369,1.5844,1.4614,0.5985
4/11/2000,0.9589,107.11,1.6406,1.5864,1.4633,0.5958
4/12/2000,0.9562,105.85,1.6481,1.5863,1.4624,0.5964
4/13/2000,0.9541,105.85,1.6489,1.5885,1.4725,0.5969
4/14/2000,0.9596,104.91,1.6399,1.5877,1.4769,0.5971
4/17/2000,0.9535,104.28,1.6466,1.5833,1.4864,0.5907
4/18/2000,0.9474,104.74,1.6619,1.5783,1.4825,0.5951
4/19/2000,0.9397,104.79,1.6697,1.5789,1.4731,0.5956
4/20/2000,0.9375,105.75,1.6775,1.58,1.4739,0.5934
4/21/2000,0.938,105.75,1.675,1.58,1.474,0.5927
4/24/2000,0.9395,105.76,1.6725,1.5795,1.477,0.5947
4/25/2000,0.92,105.8,1.7082,1.5804,1.4708,0.5929
4/26/2000,0.9235,106.28,1.7023,1.5765,1.4742,0.5878
4/27/2000,0.9107,106.35,1.7273,1.5759,1.4765,0.5886
4/28/2000,0.9093,108.24,1.7236,1.5522,1.4816,0.584
